time index;Blockage Counter;Overtravel Counter;Internal Error Counter;Over Voltage Counter;Under Voltage Counter;Over Temperature Counter;Cycle Count;CPDMRptdMvmt
1765445052791;0;0;0;0;0;0;118;1
1765445053151;0;0;0;0;0;0;118;0
1765445059716;0;0;0;0;0;0;118;1
1765445060771;0;0;0;0;0;0;119;1
1765445061251;0;0;0;0;0;0;119;0
1765445066291;0;0;0;0;0;0;119;1
1765445066651;0;0;0;0;0;0;119;0
1765445073216;0;0;0;0;0;0;119;1
1765445074271;0;0;0;0;0;0;120;1
1765445074751;0;0;0;0;0;0;120;0
1765445079791;0;0;0;0;0;0;120;1
1765445080151;0;0;0;0;0;0;120;0
1765445086716;0;0;0;0;0;0;120;1
1765445087751;0;0;0;0;0;0;121;1
1765445088251;0;0;0;0;0;0;121;0
1765445093291;0;0;0;0;0;0;121;1
1765445093651;0;0;0;0;0;0;121;0
1765445100217;0;0;0;0;0;0;121;1
1765445101271;0;0;0;0;0;0;122;1
1765445101751;0;0;0;0;0;0;122;0
1765445106791;0;0;0;0;0;0;122;1
1765445107151;0;0;0;0;0;0;122;0
1765445113717;0;0;0;0;0;0;122;1
1765445114771;0;0;0;0;0;0;123;1
1765445115251;0;0;0;0;0;0;123;0
1765445120291;0;0;0;0;0;0;123;1
1765445120651;0;0;0;0;0;0;123;0
1765445127218;0;0;0;0;0;0;123;1
1765445128251;0;0;0;0;0;0;124;1
1765445128751;0;0;0;0;0;0;124;0
1765445133791;0;0;0;0;0;0;124;1
1765445134151;0;0;0;0;0;0;124;0
1765445140718;0;0;0;0;0;0;124;1
1765445141771;0;0;0;0;0;0;125;1
1765445142251;0;0;0;0;0;0;125;0
1765445147291;0;0;0;0;0;0;125;1
1765445147671;0;0;0;0;0;0;125;0
1765445154219;0;0;0;0;0;0;125;1
1765445155271;0;0;0;0;0;0;126;1
1765445155751;0;0;0;0;0;0;126;0
1765445160791;0;0;0;0;0;0;126;1
1765445161151;0;0;0;0;0;0;126;0
